Timestamp,Spin #,Symbol 1,Symbol 2,Symbol 3,Bet,Payout,Net Change,Initial Balance,Final Balance,Result,Winning Symbol
2025-08-04 20:18:52,1,🍇,🍇,🥕,1,0,-1,100,99,Different,
2025-08-04 20:18:54,2,🍎,🍇,🥕,2,0,-2,99,97,Different,
2025-08-04 20:18:55,3,🍇,🍇,🍇,1,3,2,97,99,Same,🍇
2025-08-04 20:18:58,4,🍌,🍌,🥑,2,0,-2,99,97,Different,
2025-08-04 20:18:59,5,🍇,🥑,🥕,1,0,-1,97,96,Different,
2025-08-04 20:19:00,6,🍌,🍌,🍌,1,5,4,96,100,Same,🍌
2025-08-04 20:19:02,7,🍇,🍌,🥑,2,0,-2,100,98,Different,
2025-08-04 20:19:05,8,🥕,🥕,🍌,3,0,-3,98,95,Different,
2025-08-04 20:19:06,9,🍎,🥕,🍌,1,0,-1,95,94,Different,
2025-08-04 20:19:06,10,🥑,🥕,🥑,1,0,-1,94,93,Different,
2025-08-04 20:19:07,11,🥕,🍇,🍎,1,0,-1,93,92,Different,
2025-08-04 20:19:08,12,🍎,🍎,🥑,2,0,-2,92,90,Different,
2025-08-04 20:19:10,13,🥕,🥕,🥕,4,40,36,90,126,Same,🥕
2025-08-04 20:19:11,14,🍎,🥑,🥑,1,0,-1,126,125,Different,
2025-08-04 20:19:12,15,🥕,🥕,🍇,1,0,-1,125,124,Different,
2025-08-04 20:19:14,16,🍎,🥑,🍌,2,0,-2,124,122,Different,
2025-08-04 20:19:15,17,🍌,🥑,🍌,3,0,-3,122,119,Different,
2025-08-04 20:19:17,18,🍌,🍌,🍎,4,0,-4,119,115,Different,
2025-08-04 20:19:18,19,🥕,🥑,🍌,1,0,-1,115,114,Different,
2025-08-04 20:19:19,20,🍇,🍎,🍎,1,0,-1,114,113,Different,
2025-08-04 20:19:20,21,🥕,🥕,🥕,5,50,45,113,158,Same,🥕
2025-08-04 20:19:22,22,🍇,🍌,🍌,1,0,-1,158,157,Different,
2025-08-04 20:19:24,23,🥕,🥕,🥕,6,60,54,157,211,Same,🥕
2025-08-04 20:19:29,24,🥑,🥑,🍇,1,0,-1,211,210,Different,
2025-08-04 20:19:32,25,🍇,🍇,🍇,1,3,2,210,212,Same,🍇
2025-08-04 20:19:35,26,🍇,🍇,🍇,2,6,4,212,216,Same,🍇
2025-08-04 20:19:37,27,🥕,🥑,🍌,1,0,-1,216,215,Different,
2025-08-04 20:19:38,28,🍎,🍌,🍎,1,0,-1,215,214,Different,
2025-08-04 20:19:39,29,🥕,🍎,🥑,1,0,-1,214,213,Different,
2025-08-04 20:19:40,30,🍌,🥑,🍇,2,0,-2,213,211,Different,
2025-08-04 20:19:42,31,🥑,🥑,🍌,1,0,-1,211,210,Different,
2025-08-04 20:19:45,32,🍇,🍇,🍎,10,0,-10,210,200,Different,
